case_id,codebook,cb_type,K,M,c,wav,SNR_CELP_dB,SegSNR_CELP_dB,MSE,PESQ,STOI
34,2pulses256,2pulses,256,16,0.6,r.wav,6.23580676686095,3.15806356481027,0.00135051348420547,NaN,0.930787154161247
34,2pulses256,2pulses,256,16,0.6,z.wav,9.94603160917973,4.26958713612258,0.000568821788661849,NaN,0.957692500074348
34,2pulses256,2pulses,256,16,0.6,we were away a year ago_lrr.wav,9.92157177721157,9.55380494522509,0.00288513276749677,NaN,0.913280987271309
35,2pulses256,2pulses,256,16,0.75,frase.wav,10.3757117588764,8.71623725740585,0.00201134171072968,NaN,0.852361862515146
35,2pulses256,2pulses,256,16,0.75,e.wav,13.3829669746864,5.63623382626283,0.000533131181782814,NaN,NaN
35,2pulses256,2pulses,256,16,0.75,r.wav,9.32086151333498,4.05232921442012,0.000663733060120638,NaN,0.928245558383736
35,2pulses256,2pulses,256,16,0.75,z.wav,10.5888078039165,5.51476820379616,0.000490567309411304,NaN,0.93630813282415
35,2pulses256,2pulses,256,16,0.75,we were away a year ago_lrr.wav,10.0209577425567,10.4479057501283,0.00281985779001312,NaN,0.914241926681376
36,2pulses256,2pulses,256,16,0.9,frase.wav,11.4953055981596,9.84067463823461,0.00155427004145958,NaN,0.861928486120149
36,2pulses256,2pulses,256,16,0.9,e.wav,14.798594604482,6.40305521249344,0.000384832127138505,NaN,NaN
36,2pulses256,2pulses,256,16,0.9,r.wav,10.6169630322018,4.53861836028439,0.000492473990041957,NaN,0.939904999797818
36,2pulses256,2pulses,256,16,0.9,z.wav,10.5291871709002,6.28214292923608,0.000497348333976301,NaN,0.923902303437065
36,2pulses256,2pulses,256,16,0.9,we were away a year ago_lrr.wav,10.8403025998257,11.4715707092539,0.00233503137805135,NaN,0.923905020904554
