case_id,codebook,K,M,c,k_norm,theta0_mean,theta0_abs_mean,theta0_rms,P_mean,F0_mean_Hz,b_mean,proc_time_s
1,gauss64,64,10,0.6,0.493677510999303,-0.00237273279013742,0.0269702364022324,0.049956710216674,85.5239049674725,93.5410982817337,0.828406979978665,0.6231029
2,gauss64,64,10,0.75,0.480935040389395,0.000137277500265,0.0294775466183124,0.0604039149439172,85.8344640547101,93.2026556943476,0.828727464822789,0.5284467
3,gauss64,64,10,0.9,0.489832444096986,0.000780622393542342,0.0302591565166501,0.0636600780122291,85.0419491406644,94.0712210954564,0.826843760243153,0.5724634
4,gauss64,64,12,0.6,0.490847474553202,-0.00200881713106876,0.0270306507110687,0.0505992620374366,85.4207267962782,93.6540849047021,0.824130090058507,0.5303663
5,gauss64,64,12,0.75,0.4992020731685,-0.000563492015008474,0.0270342942805908,0.0494108088656732,85.7222218709574,93.324692540551,0.827597540206493,0.5345674
6,gauss64,64,12,0.9,0.488642173766282,-0.001900308047623,0.0292939457238419,0.054085718317879,86.1948165567191,92.8130056954844,0.827757638051626,0.5548303
7,gauss64,64,16,0.6,0.485358641869924,-0.000287662149677713,0.0260714518017876,0.0484139041107773,85.1819137996192,93.9166501802143,0.825880102866901,0.5616784
8,gauss64,64,16,0.75,0.488088974539964,-0.00168738749087041,0.0274487214479831,0.0526454350196587,84.7772425627034,94.3649469854248,0.83131949413984,0.5444646
9,gauss64,64,16,0.9,0.502198400429019,-0.000985422469431876,0.0295414072865707,0.0583228422950756,86.1660763912681,92.8439629033718,0.823214458168363,0.5545509
10,gauss256,256,10,0.6,0.493543482032708,0.000216186401238212,0.0319098624449431,0.0632685661427141,85.7205834335217,93.3264763206399,0.79323761637906,0.5681362
11,gauss256,256,10,0.75,0.480092009320987,-0.000777128829887752,0.0330136544163419,0.0662693811527976,85.2402435458987,93.8523831843851,0.811842272581488,0.6084636
12,gauss256,256,10,0.9,0.502969683547298,0.00125723750388004,0.0350093203835878,0.073026073143947,85.111835740968,93.9939778099423,0.823768743184992,0.6149207
13,gauss256,256,12,0.6,0.50421257647796,-0.00205911269413338,0.0301541603652331,0.0562601628444826,84.9260408841075,94.1996108227514,0.803983418908164,0.6103409
14,gauss256,256,12,0.75,0.486514348381472,0.00179479009930961,0.0313957027772525,0.0596669572823059,84.7968216938369,94.3431586255012,0.807024108157277,0.5653156
15,gauss256,256,12,0.9,0.494442197135178,0.00139009525995808,0.0330029882132446,0.0643440829043115,86.3308205891697,92.6667897444219,0.822309642734133,0.6078587
16,gauss256,256,16,0.6,0.499430188242944,-0.000122014649281029,0.0296334884154676,0.057563336472531,86.1356595247439,92.8767486560182,0.799772968422725,0.6012796
17,gauss256,256,16,0.75,0.499617036098168,4.08472875282564e-05,0.0301668355561651,0.0564684971821324,85.5559842958681,93.5060249243881,0.812153657751481,0.5489232
18,gauss256,256,16,0.9,0.48780808756045,-0.000395907678323938,0.0321674491393667,0.062878635067912,86.2711907513191,92.7308401603079,0.827181176884755,0.5993157
19,gauss1024,1024,10,0.6,0.504480522178844,0.00368892851340527,0.0330595259031884,0.0631346569584235,85.8927776877986,93.1393792977361,0.789372834684081,0.8102079
20,gauss1024,1024,10,0.75,0.498282224797321,0.000395245877440856,0.0332352368096469,0.0621448002557247,84.9475648161414,94.1757426162247,0.791276128657828,0.8258632
21,gauss1024,1024,10,0.9,0.511939408609244,-0.00207920723970558,0.0349530165909162,0.0643806737102473,86.2236482102107,92.7819706781165,0.821778554727475,0.8838271
22,gauss1024,1024,12,0.6,0.49186655472048,0.000282686985296712,0.0315509227260996,0.0577645201910863,86.0196886011632,93.0019642025514,0.781834532776027,0.8592789
23,gauss1024,1024,12,0.75,0.494718636538862,-0.000742006176564978,0.0334117806948281,0.0633856882141649,85.8667996679769,93.1675575534873,0.796226619168106,0.8340345
24,gauss1024,1024,12,0.9,0.513768661907145,0.00203771981002032,0.0339443529552269,0.0630149487870754,85.7150226384104,93.3325309117407,0.813412291689431,0.832426
25,gauss1024,1024,16,0.6,0.489157117704412,0.000780248421088998,0.032231172638802,0.0604604326130398,84.7679156777611,94.3753298171375,0.782806411426766,0.8311082
26,gauss1024,1024,16,0.75,0.514987832865234,0.00189588642910579,0.0324332822425422,0.0624633654901527,85.505002268513,93.5617775305992,0.798049011246617,0.8464785
27,gauss1024,1024,16,0.9,0.491478022227672,-0.00128430021500095,0.0338424705237767,0.062433139254514,87.027060183599,91.9254308156863,0.812566319956437,0.8626064
